Salio de ciudad,Fue a la iglesia,Fue de fiesta,Fue al cine/museo/parque/paseo,Hizo tarea,Avanzo al curso de R,Jugo videojuegos
0,0,1,1,1,1,0
1,0,0,1,1,1,1
0,1,0,0,1,0,0
1,0,0,1,1,0,0
1,1,1,0,1,1,0
0,0,1,1,0,0,0
1,0,1,1,0,0,0
0,1,1,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,0,0
1,0,1,1,1,0,1
0,0,1,1,0,0,0
0,1,0,1,0,1,0
0,0,1,0,0,1,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
1,0,1,0,0,0,0
0,0,0,0,1,0,0
1,0,1,1,0,1,0
0,0,0,0,1,1,0
1,0,1,1,0,1,0
0,1,0,0,0,0,0
0,0,1,1,1,1,0
0,1,0,0,1,1,0
0,0,0,1,1,1,0
0,0,0,0,1,1,0
1,0,0,1,1,0,0
